2012.06.16 (168) 10:00:11.000
Station name: Zhong Shan
URSI code: ZS36R
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 2.950  190.0 -90  27  36   0.781  30.0  30.0  188
 2.950  192.5 -90  27  36   0.781 330.0  30.0  194
 3.000  110.0  90  30  45   0.781   0.0   0.0  109
 3.000  112.5  90  30  39   0.781   0.0   0.0  109
 3.000  117.5  90  30  45   0.781   0.0   0.0  115
 3.000  122.5  90  30  39   0.781   0.0   0.0  122
 3.000  125.0  90  30  42   2.344   0.0   0.0  123
 3.000  152.5  90  30  39   3.906 330.0  30.0  147
 3.000  155.0  90  30  42   3.906   0.0   0.0  149
 3.000  182.5  90  30  42   3.906  30.0  30.0  177
 3.000  185.0  90  30  42   3.906  30.0  30.0  179
 3.000  187.5  90  30  42   3.906  30.0  30.0  181
 3.000  190.0  90  30  42   5.469  30.0  30.0  182
 3.000  110.0 -90  30  45   0.781  30.0  30.0  109
 3.000  112.5 -90  30  39   0.781  30.0  30.0  111
 3.000  115.0 -90  30  39   0.781  30.0  30.0  113
 3.000  117.5 -90  30  48   0.781  30.0  30.0  115
 3.000  125.0 -90  30  39   2.344  30.0  30.0  122
 3.000  130.0 -90  30  39   0.781  90.0  30.0  124
 3.000  150.0 -90  30  39   2.344  90.0  30.0  146
 3.000  155.0 -90  30  39   3.906  30.0  30.0  150
 3.000  182.5 -90  30  39   5.469  30.0  30.0  176
 3.000  185.0 -90  30  39   3.906  30.0  30.0  177
 3.000  187.5 -90  30  39   5.469  30.0  30.0  180
 3.000  190.0 -90  30  42   5.469  30.0  30.0  182
 3.000  242.5 -90  30  39   2.344  30.0  30.0  239
 3.050  110.0  90  30  45   0.781   0.0   0.0  111
 3.050  112.5  90  30  48   0.781   0.0   0.0  111
 3.050  115.0  90  30  42   2.344   0.0   0.0  113
 3.050  125.0  90  30  42   0.781   0.0   0.0  123
 3.050  127.5  90  30  42   2.344   0.0   0.0  124
 3.050  160.0  90  30  42   3.906   0.0   0.0  154
 3.050  177.5  90  30  39   5.469  30.0  30.0  170
 3.050  180.0  90  30  42  -5.469  30.0  30.0  171
 3.050  182.5  90  30  48  -5.469  30.0  30.0  173
 3.050  185.0  90  30  45  -5.469   0.0   0.0  175
 3.050  187.5  90  30  42  -3.906   0.0   0.0  177
 3.050  190.0  90  30  45  -3.906  30.0  30.0  178
 3.050  192.5  90  30  39  -3.906  30.0  30.0  182
 3.050  110.0 -90  30  42   0.781  30.0  30.0  111
 3.050  112.5 -90  30  45   0.781  30.0  30.0  110
 3.050  115.0 -90  30  42   2.344  30.0  30.0  113
 3.050  117.5 -90  30  39   2.344  30.0  30.0  113
 3.050  125.0 -90  30  42   0.781  30.0  30.0  123
 3.050  127.5 -90  30  39   2.344  30.0  30.0  124
 3.050  160.0 -90  30  39   3.906  90.0  30.0  154
 3.050  182.5 -90  30  45  -5.469  30.0  30.0  173
 3.050  185.0 -90  30  45  -5.469  30.0  30.0  176
 3.050  190.0 -90  30  45  -3.906  90.0  30.0  180
 3.100  112.5  90  30  54  -0.781   0.0   0.0  113
 3.100  115.0  90  30  48  -0.781   0.0   0.0  114
 3.100  117.5  90  30  39   0.781   0.0   0.0  116
 3.100  165.0  90  30  42   2.344 270.0  30.0  175
 3.100  175.0  90  30  42   5.469  30.0  30.0  169
 3.100  177.5  90  30  45  -5.469  30.0  30.0  169
 3.100  180.0  90  30  39   5.469  30.0  30.0  172
 3.100  182.5  90  30  48  -5.469   0.0   0.0  174
 3.100  185.0  90  30  48  -5.469  30.0  30.0  175
 3.100  187.5  90  30  45  -5.469  30.0  30.0  177
 3.100  190.0  90  30  45  -3.906  30.0  30.0  179
 3.100  192.5  90  30  39  -3.906  30.0  30.0  180
 3.100  240.0  90  30  39   0.781  90.0  30.0  237
 3.100  112.5 -90  27  48  -0.781  90.0  30.0  113
 3.100  115.0 -90  27  45  -0.781  90.0  30.0  114
 3.100  117.5 -90  27  39   0.781  90.0  30.0  113
 3.100  165.0 -90  27  39   2.344  30.0  30.0  175
 3.100  175.0 -90  27  39   5.469  90.0  30.0  166
 3.100  177.5 -90  27  39   5.469  90.0  30.0  169
 3.100  182.5 -90  27  42  -5.469  90.0  30.0  173
 3.100  185.0 -90  27  42  -5.469  90.0  30.0  176
 3.100  187.5 -90  27  39  -3.906  90.0  30.0  179
 3.100  190.0 -90  27  39  -3.906  30.0  30.0  181
 3.100  192.5 -90  27  36  -3.906  30.0  30.0  178
 3.100  207.5 -90  27  36   3.906  90.0  30.0  205
 3.100  240.0 -90  27  36   0.781 330.0  30.0  239
 3.150  112.5  90  27  39   0.781   0.0   0.0  114
 3.150  115.0  90  27  48  -2.344   0.0   0.0  117
 3.150  165.0  90  27  42   3.906 330.0  30.0  176
 3.150  167.5  90  27  36   3.906   0.0   0.0  177
 3.150  172.5  90  27  39  -5.469  30.0  30.0  166
 3.150  175.0  90  27  36   5.469  30.0  30.0  168
 3.150  177.5  90  27  42   5.469   0.0   0.0  168
 3.150  180.0  90  27  36   5.469   0.0   0.0  169
 3.150  182.5  90  27  42  -5.469   0.0   0.0  172
 3.150  185.0  90  27  39  -3.906   0.0   0.0  176
 3.150  187.5  90  27  39  -3.906  30.0  30.0  175
 3.150  190.0  90  27  36  -5.469  30.0  30.0  183
 3.150  192.5  90  27  36   2.344 330.0  30.0  203
 3.150  230.0  90  27  36   3.906  30.0  30.0  223
 3.150  232.5  90  27  36   5.469  90.0  30.0  225
 3.150  242.5  90  27  36   2.344  90.0  30.0  239
 3.150  250.0  90  27  36  -3.906   0.0   0.0  244
 3.150  112.5 -90  27  36   0.781  30.0  30.0  111
 3.150  115.0 -90  27  42  -2.344  90.0  30.0  117
 3.150  165.0 -90  27  36   3.906  90.0  30.0  176
 3.150  167.5 -90  27  36   3.906  90.0  30.0  174
 3.150  175.0 -90  27  39  -5.469  90.0  30.0  169
 3.150  177.5 -90  27  36  -3.906  90.0  30.0  165
 3.150  187.5 -90  27  36  -3.906  30.0  30.0  176
 3.150  190.0 -90  27  36   3.906  30.0  30.0  197
 3.200  115.0  90  30  51  -2.344   0.0   0.0  117
 3.200  117.5  90  30  42  -2.344   0.0   0.0  117
 3.200  167.5  90  30  42   3.906   0.0   0.0  177
 3.200  175.0  90  30  48  -3.906  30.0  30.0  165
 3.200  177.5  90  30  48  -3.906  30.0  30.0  166
 3.200  180.0  90  30  48  -5.469   0.0   0.0  191
 3.200  182.5  90  30  48  -3.906   0.0   0.0  187
 3.200  185.0  90  30  39  -3.906   0.0   0.0  187
 3.200  187.5  90  30  42  -5.469   0.0   0.0  194
 3.200  205.0  90  30  39  -5.469   0.0   0.0  196
 3.200  212.5  90  30  39   5.469   0.0   0.0  205
 3.200  217.5  90  30  39   2.344  30.0  30.0  211
 3.200  237.5  90  30  42   2.344  90.0  30.0  234
 3.200  240.0  90  30  45   2.344  90.0  30.0  236
 3.200  242.5  90  30  39   2.344  90.0  30.0  238
 3.200  247.5  90  30  39   3.906  90.0  30.0  241
 3.200  115.0 -90  30  45  -2.344  90.0  30.0  117
 3.200  117.5 -90  30  39  -2.344  90.0  30.0  118
 3.200  175.0 -90  30  42  -3.906  90.0  30.0  166
 3.200  177.5 -90  30  45  -3.906  90.0  30.0  168
 3.200  182.5 -90  30  39  -2.344  30.0  30.0  185
 3.200  185.0 -90  30  45  -3.906  90.0  30.0  188
 3.200  187.5 -90  30  39  -5.469  30.0  30.0  192
 3.200  240.0 -90  30  42   2.344  90.0  30.0  235
 3.250  115.0  90  30  45  -2.344   0.0   0.0  119
 3.250  117.5  90  30  51  -3.906   0.0   0.0  120
 3.250  122.5  90  30  39  -0.781   0.0   0.0  119
 3.250  172.5  90  30  42  -3.906   0.0   0.0  174
 3.250  175.0  90  30  39  -5.469 330.0  30.0  173
 3.250  177.5  90  30  48  -5.469  30.0  30.0  169
 3.250  180.0  90  30  45  -5.469   0.0   0.0  171
 3.250  185.0  90  30  39  -2.344   0.0   0.0  187
 3.250  205.0  90  30  39  -2.344   0.0   0.0  196
 3.250  212.5  90  30  42   5.469  90.0  30.0  205
 3.250  222.5  90  30  39  -5.469  30.0  30.0  213
 3.250  225.0  90  30  42  -3.906  90.0  30.0  213
 3.250  227.5  90  30  39  -3.906  30.0  30.0  214
 3.250  242.5  90  30  42   3.906  90.0  30.0  237
 3.250  252.5  90  30  42  -5.469   0.0   0.0  245
 3.250  255.0  90  30  42  -5.469  90.0  30.0  245
 3.250  115.0 -90  30  39  -2.344  90.0  30.0  120
 3.250  117.5 -90  30  45  -2.344  90.0  30.0  120
 3.250  172.5 -90  30  39  -3.906  90.0  30.0  176
 3.250  175.0 -90  30  39  -3.906  90.0  30.0  176
 3.250  177.5 -90  30  39  -5.469  90.0  30.0  167
 3.250  180.0 -90  30  39  -3.906  90.0  30.0  171
 3.300  167.5  90  30  39   5.469   0.0   0.0  174
 3.300  177.5  90  30  39  -2.344   0.0   0.0  164
 3.300  202.5  90  30  45   0.781 210.0  30.0  217
 3.300  205.0  90  30  45   0.781 210.0  30.0  218
 3.300  220.0  90  30  45   5.469  90.0  30.0  213
 3.300  222.5  90  30  39   5.469  90.0  30.0  215
 3.300  230.0  90  30  42   5.469  90.0  30.0  222
 3.300  232.5  90  30  39   5.469  30.0  30.0  226
 3.300  235.0  90  30  39   5.469  30.0  30.0  226
 3.300  185.0 -90  30  39  -3.906  90.0  30.0  183
 3.300  187.5 -90  30  42  -3.906  90.0  30.0  181
 3.300  202.5 -90  30  42   0.781  30.0  30.0  216
 3.300  205.0 -90  30  39   0.781  30.0  30.0  219
 3.350  127.5  90  27  36   0.781   0.0   0.0  126
 3.350  167.5  90  27  42   5.469   0.0   0.0  175
