Zhong Shan, lat -69.4, lon 76.4, 2012.06.16 (168) 10:03:50, coord GM
The following filter has been applied:
ZenithMax: 40.0 deg
Only O-polarization

     F,kHz      R,km   Zen,deg    Az,deg    Dop,Hz     Error    Amp,dB
      4050     282.0       4.0     290.2   -2.2135      14.0      24.0
      4050     282.0       3.8     286.1   -1.8229      11.0      19.5
      4050     282.0       3.1     267.6   -1.6927      13.0      24.0
      4050     282.0       4.4     -23.0   -1.5625      12.0      27.0
      4050     282.0       6.1     -17.8   -1.4323      11.0      24.0
      4050     282.0       7.5     -14.5   -1.1719       7.0      22.5
      4050     282.0       6.7     -19.8   -1.0417      12.0      27.0
      4050     282.0       6.1     333.5   -0.9115      13.0      27.0
      4050     285.0       3.4      -7.5   -1.0417       9.0      30.0
      4050     285.0       3.5     334.0   -0.9115      12.0      30.0
      4050     285.0       0.4     247.0   -0.7812      11.0      28.5
      4050     285.0       4.5      28.7   -0.3906      13.0      27.0
      4050     285.0       4.3      57.1   -0.2604      14.0      31.5
      4050     285.0       4.5      74.1   -0.1302      15.0      25.5
      4050     287.0       5.0     180.8   -3.1250      12.0      27.0
      4050     287.0       1.9     186.1   -2.9948      10.0      25.5
      4050     287.0       6.9     166.2   -2.6042      14.0      27.0
      4050     287.0       7.2     157.0   -2.4740      15.0      27.0
      4050     287.0       5.4     133.0   -1.1719      14.0      27.0
      4050     287.0       4.0     113.9   -1.0417      13.0      27.0
      4050     287.0       4.5     105.3   -0.3906      12.0      27.0
      4050     287.0       4.1      69.6   -0.2604      11.0      31.5
      4050     290.0      14.6     199.4   -4.5573       9.0      12.0
      4050     290.0      13.1     196.8   -4.4271      13.0      16.5
      4050     290.0      10.8     191.5   -4.2969      14.0      19.5
      4050     290.0      10.1     189.2   -4.1667      12.0      18.0
      4050     290.0      11.1     187.0   -4.0365      13.0      15.0
      4050     290.0      11.8     176.3   -3.9063      12.0      12.0
      4050     290.0      12.8      92.8    0.6510      15.0      13.5
      4050     290.0      11.7      92.4    0.7813       8.0      15.0
      4050     290.0      13.7      91.8    0.9115       6.0      13.5
      4050     290.0      10.2      79.5    1.3021      16.0      13.5
      4050     290.0      14.1      83.1    1.9531      10.0      13.5
      4050     290.0      10.4      79.3    2.0833      10.0      13.5
      4050     292.0      11.7      81.7    0.9115       8.0      13.5
      4050     292.0      11.9      96.0    1.0417      10.0      13.5
      4050     292.0      14.9      98.7    1.1719      14.0      15.0
      4100     277.0      10.5     237.9   -4.9479      16.0      16.5
      4100     277.0      10.2     240.8   -4.8177      15.0      19.5
      4100     277.0       8.9     239.9   -4.6875      11.0      22.5
      4100     277.0       9.3     240.2   -4.5573      10.0      22.5
      4100     277.0       9.6     242.6   -4.4271      11.0      22.5
      4100     277.0       9.1     248.2   -4.2969      12.0      21.0
      4100     277.0       8.2     262.6   -4.0365      12.0      18.0
      4100     277.0       8.3     258.6   -3.9063      11.0      24.0
      4100     277.0       8.3     252.1   -3.7760      10.0      21.0
      4100     277.0       7.9     256.5   -3.6458      13.0      22.5
      4100     277.0       7.5     256.9   -3.5156      13.0      24.0
      4100     277.0       8.0     255.0   -3.3854      13.0      21.0
      4100     277.0       8.3     259.8   -3.2552      10.0      19.5
      4100     277.0       7.0     265.4   -3.1250      11.0      18.0
      4100     280.0      11.4     227.1   -7.2917      12.0      13.5
      4100     280.0      11.1     237.4   -6.6406      14.0      16.5
      4100     280.0       8.6     228.2   -6.5104      10.0      13.5
      4100     280.0      12.9     211.9   -6.2500      15.0      18.0
      4100     280.0      11.6     224.5   -6.1198      13.0      24.0
      4100     280.0      11.0     231.3   -5.9896      13.0      22.5
      4100     280.0      11.0     235.3   -5.8594      12.0      19.5
      4100     280.0      12.0     227.2   -5.7292      10.0      16.5
      4100     280.0      10.4     230.5   -5.4687       2.0      13.5
      4100     280.0      10.2     231.2   -5.3385       9.0      19.5
      4100     280.0      10.1     223.3   -5.2083      12.0      19.5
      4100     280.0      11.7     232.3   -5.0781      14.0      18.0
      4100     280.0      11.3     231.8   -4.9479      16.0      19.5
      4100     280.0       9.8     236.1   -4.8177      14.0      25.5
      4100     280.0       9.4     236.8   -4.6875      12.0      28.5
      4100     280.0       9.2     238.9   -4.5573      12.0      25.5
      4100     280.0      10.8     244.0   -4.4271      14.0      22.5
      4100     280.0       9.5     243.6   -4.2969      12.0      25.5
      4100     280.0      11.0     243.1   -4.0365      15.0      15.0
      4100     280.0       9.2     247.0   -3.9063      12.0      19.5
      4100     280.0       9.2     235.5   -3.7760      10.0      18.0
      4100     280.0       8.8     238.5   -3.6458      15.0      18.0
      4100     280.0       8.1     248.3   -3.5156      14.0      21.0
      4100     280.0       8.2     241.8   -3.3854      10.0      19.5
      4100     280.0       7.4     245.6   -3.2552      11.0      22.5
      4100     280.0       6.8     245.5   -3.1250      14.0      19.5
      4100     280.0       6.5     253.5   -2.9948       7.0      15.0
      4100     280.0       6.8     248.6   -2.8646      11.0      16.5
      4100     280.0       8.3     235.4   -2.3437      20.0      13.5
      4100     280.0       7.6     251.2   -2.2135      18.0      15.0
      4100     280.0       7.7     268.0   -2.0833      17.0      15.0
      4100     280.0       5.7     276.1   -1.9531      11.0      15.0
      4100     280.0       8.3     259.8   -1.5625      13.0      12.0
      4100     280.0       6.9     293.1   -1.4323      15.0      13.5
      4100     280.0       8.8     281.7   -1.3021      10.0      12.0
      4100     282.0       5.6     298.6   -2.9948       9.0      21.0
      4100     282.0       4.7     267.6   -2.8646      10.0      25.5
      4100     282.0       8.0     233.6   -2.7344      14.0      19.5
      4100     282.0       1.9       6.1   -2.6042      11.0      19.5
      4100     282.0       2.8     258.3   -2.4740      11.0      21.0
      4100     282.0       4.1     254.8   -2.3437      11.0      25.5
      4100     282.0       4.9     276.5   -2.2135      10.0      24.0
      4100     282.0       5.8     326.1   -2.0833      12.0      22.5
      4100     282.0       4.9     317.2   -1.9531      10.0      25.5
      4100     282.0       3.1     279.7   -1.8229      13.0      24.0
      4100     282.0       3.2     270.6   -1.6927      11.0      22.5
      4100     282.0       8.4      -7.7   -1.5625      14.0      18.0
      4100     282.0       5.8     329.7   -1.4323      11.0      24.0
      4100     282.0       4.1     318.6   -1.3021      10.0      24.0
      4100     282.0       2.3     261.0   -1.1719      11.0      19.5
      4100     282.0       4.0     293.9   -1.0417      12.0      18.0
      4100     282.0       3.6     315.8   -0.7812      13.0      22.5
      4100     282.0       3.6     325.1   -0.6510      14.0      22.5
      4100     285.0       1.3     165.1   -3.5156      14.0      18.0
      4100     285.0       4.5     145.2   -3.3854      14.0      18.0
      4100     285.0       2.0     213.3   -2.6042      12.0      22.5
      4100     285.0       2.1     216.0   -2.4740      14.0      24.0
      4100     285.0       6.2     235.0   -2.3437      15.0      19.5
      4100     285.0       1.7     296.4   -1.6927      10.0      22.5
      4100     285.0       1.9     162.7   -1.5625      12.0      27.0
      4100     285.0       8.5     152.0   -1.4323      10.0      19.5
      4100     285.0       2.8      63.2   -1.1719      19.0      24.0
      4100     285.0       2.5      84.1   -1.0417      14.0      25.5
      4100     285.0       6.1     -17.8   -0.9115      13.0      25.5
      4100     285.0       6.1     331.8   -0.7812      11.0      27.0
      4100     285.0       1.9      50.3   -0.3906      13.0      27.0
      4100     285.0       2.9      52.1   -0.2604      13.0      30.0
      4100     285.0       6.4      57.0   -0.1302      11.0      24.0
      4100     285.0       8.8      39.4    0.1302      12.0      21.0
      4100     285.0       6.8      37.7    0.2604      13.0      27.0
      4100     285.0       5.6      59.4    0.3906      12.0      27.0
      4100     285.0       6.6      93.6    0.5208      10.0      21.0
      4100     287.0       6.2     183.6   -4.5573      15.0      24.0
      4100     287.0       6.2     183.6   -4.4271      12.0      25.5
      4100     287.0       6.4     186.5   -4.2969      11.0      25.5
      4100     287.0       5.8     164.4   -3.2552      10.0      27.0
      4100     287.0       5.7     170.1   -3.1250      10.0      27.0
      4100     287.0       6.3     158.7   -2.6042      13.0      28.5
      4100     287.0       5.7     162.5   -2.4740      13.0      30.0
      4100     287.0       2.0      72.2   -1.5625      14.0      28.5
      4100     287.0       2.3      81.0   -1.4323      13.0      27.0
      4100     287.0       4.4     108.6   -1.3021      11.0      25.5
      4100     287.0       4.0     126.9   -1.1719      11.0      31.5
      4100     287.0       4.0     123.3   -1.0417      11.0      31.5
      4100     287.0       6.4     117.8   -0.6510      14.0      27.0
      4100     287.0      10.5     128.6   -0.5208      15.0      24.0
      4100     287.0       4.1      74.8   -0.3906      14.0      30.0
      4100     287.0       3.9      56.2   -0.2604      12.0      34.5
      4100     287.0       4.6      43.5   -0.1302      10.0      31.5
      4100     287.0       6.7      25.4    0.1302      12.0      28.5
      4100     287.0       6.9      20.9    0.2604      11.0      30.0
      4100     287.0       6.4      44.9    0.3906      11.0      28.5
      4100     287.0       5.7      38.0    1.0417      15.0      24.0
      4100     287.0       8.2      61.8    1.1719      13.0      25.5
      4100     287.0       9.7      59.3    1.3021      11.0      24.0
      4100     290.0      13.7     198.7   -4.8177      19.0      15.0
      4100     290.0      10.8     190.2   -4.6875      14.0      18.0
      4100     290.0      11.2     192.5   -4.5573      10.0      18.0
      4100     290.0      12.1     192.6   -4.4271       9.0      16.5
      4100     290.0      12.4     194.7   -4.2969       7.0      18.0
      4100     290.0      13.3     203.7   -4.1667       9.0      16.5
      4100     290.0      14.6     208.2   -4.0365      12.0      13.5
      4100     290.0      10.1     199.8   -3.9063       9.0      15.0
      4100     290.0       6.7     177.9   -3.7760       8.0      13.5
      4100     290.0       8.6     194.1   -2.6042      19.0      12.0
      4100     290.0       5.1     167.5   -2.4740      15.0      15.0
      4100     290.0       9.3     100.7   -0.6510      13.0      18.0
      4100     290.0      14.0     108.8   -0.5208      17.0      15.0
      4100     290.0      19.5      89.1    0.9115      13.0      15.0
      4100     290.0      17.0      86.2    1.0417      15.0      18.0
      4100     290.0      11.5      76.3    1.1719      15.0      16.5
      4100     292.0      17.1      90.2    1.1719      21.0      12.0
      4100     292.0      18.0      96.2    1.3021      21.0      13.5
      4150     277.0       9.3     239.0   -4.4271      13.0      12.0
      4150     277.0      10.6     247.0   -4.2969      13.0      13.5
      4150     277.0       8.0     237.8   -4.0365      17.0      12.0
      4150     277.0       7.6     252.6   -3.9063      13.0      16.5
      4150     277.0       8.2     266.7   -3.7760      12.0      16.5
      4150     277.0       8.1     263.0   -3.6458      13.0      19.5
      4150     277.0       6.7     263.0   -3.5156      10.0      15.0
      4150     280.0      11.6     237.8   -5.8594       1.0      13.5
      4150     280.0      11.9     236.2   -5.7292       5.0      15.0
      4150     280.0      11.0     241.2   -5.5990      18.0      13.5
      4150     280.0       9.6     245.9   -5.4687      15.0      15.0
      4150     280.0       9.3     233.2   -5.3385      12.0      18.0
      4150     280.0       9.2     231.9   -5.2083      11.0      19.5
      4150     280.0       9.8     236.1   -5.0781      16.0      18.0
      4150     280.0      11.6     240.6   -4.8177      10.0      18.0
      4150     280.0      11.6     240.6   -4.6875      12.0      21.0
      4150     280.0      10.8     240.1   -4.5573      11.0      18.0
      4150     280.0       9.3     239.0   -4.4271      14.0      21.0
      4150     280.0       8.5     245.8   -4.2969      15.0      21.0
      4150     280.0       8.7     250.7   -4.1667       9.0      16.5
      4150     280.0       8.9     228.9   -4.0365      10.0      12.0
      4150     280.0       8.7     234.7   -3.9063      15.0      12.0
      4150     280.0       5.3     261.0   -3.2552      15.0      15.0
      4150     280.0       4.9     266.8   -3.1250      13.0      13.5
      4150     282.0       3.7     247.0   -2.8646       9.0      18.0
      4150     282.0       5.5     235.3   -2.7344      13.0      13.5
      4150     282.0       3.1     296.8   -2.4740      18.0      15.0
      4150     282.0       3.5     279.0   -2.3437      12.0      19.5
      4150     282.0       4.1     247.0   -2.2135      10.0      15.0
      4150     282.0       7.0     313.8   -2.0833      13.0      19.5
      4150     282.0       7.4     307.3   -1.9531       9.0      15.0
      4150     285.0       3.4     287.6   -2.4740      18.0      13.5
      4150     285.0       2.3     261.0   -2.3437      13.0      18.0
      4150     285.0       1.3     213.3   -2.2135       9.0      13.5
      4150     285.0       6.2     319.7   -2.0833      11.0      18.0
      4150     285.0       5.1     316.0   -1.9531      12.0      18.0
      4150     285.0       5.2     309.5   -1.6927       3.0      13.5
      4150     285.0       1.4     313.8   -1.5625       7.0      16.5
      4150     285.0       3.1       5.1   -1.1719       8.0      19.5
      4150     285.0       4.7     -13.9   -1.0417      11.0      21.0
      4150     285.0       6.9     -13.8   -0.9115      11.0      19.5
      4150     285.0       3.6       1.0   -0.7812      11.0      19.5
      4150     285.0       5.9     113.3   -0.6510      13.0      12.0
      4150     285.0       7.6      11.1   -0.3906      12.0      12.0
      4150     285.0       6.7      81.4   -0.2604      13.0      12.0
      4150     285.0       7.9      54.9    0.2604       9.0      13.5
      4150     285.0       8.3      90.7    0.3906      12.0      12.0
      4150     287.0       8.3     158.3   -3.9063      17.0      12.0
      4150     287.0       5.4     174.8   -3.7760      20.0      13.5
      4150     287.0       2.2     147.5   -3.3854      14.0      13.5
      4150     287.0       6.5     153.7   -3.2552      14.0      13.5
      4150     287.0       6.3     158.7   -3.1250      14.0      19.5
      4150     287.0       7.8     162.4   -2.9948      11.0      18.0
      4150     287.0       6.9     166.2   -2.8646      12.0      19.5
      4150     287.0       5.0     180.8   -2.7344      11.0      19.5
      4150     287.0       9.4     155.9   -2.4740      10.0      18.0
      4150     287.0       7.8     161.1   -2.3437       7.0      13.5
      4150     287.0       2.2     -23.0   -2.0833       9.0      12.0
      4150     287.0       3.9      69.7   -1.9531       9.0      13.5
      4150     287.0       2.1     119.1   -1.8229      12.0      18.0
      4150     287.0       1.7     169.5   -1.6927      14.0      19.5
      4150     287.0       1.1     216.0   -1.5625      14.0      19.5
      4150     287.0       1.0     112.0   -1.4323      11.0      21.0
      4150     287.0       3.4     107.6   -1.3021       8.0      21.0
      4150     287.0       3.5      99.0   -1.1719      10.0      24.0
      4150     287.0       3.2     102.5   -1.0417      13.0      24.0
      4150     287.0       3.1     112.0   -0.9115      12.0      18.0
      4150     287.0       4.9     137.2   -0.7812      13.0      19.5
      4150     287.0       6.7     129.0   -0.6510      13.0      19.5
      4150     287.0       8.9     -21.8   -0.5208       3.0      15.0
      4150     287.0       5.4      36.0   -0.3906      13.0      22.5
      4150     287.0       5.5      68.9   -0.2604      15.0      25.5
      4150     287.0       5.5      65.1   -0.1302      14.0      24.0
      4150     287.0       2.6      54.9    0.1302      12.0      15.0
      4150     287.0      14.2      71.5    0.2604      13.0      12.0
      4150     287.0      14.2     -12.4    0.5208      13.0      13.5
      4150     287.0       7.7      23.0    0.6510      10.0      16.5
      4150     287.0       7.2      62.6    0.7813      11.0      21.0
      4150     287.0       8.5      68.3    0.9115      11.0      19.5
      4150     287.0       9.5      50.0    1.0417      13.0      16.5
      4150     287.0       8.7      54.7    1.1719      15.0      19.5
      4150     287.0      10.2      50.2    1.3021      16.0      19.5
      4150     287.0       8.9      42.6    1.4323      14.0      19.5
      4150     287.0       7.7      33.7    1.5625       9.0      15.0
      4150     290.0      13.1     204.3   -5.0781       9.0      13.5
      4150     290.0      13.4     203.1   -4.9479      10.0      15.0
      4150     290.0      11.7     214.3   -4.8177      14.0      13.5
      4150     290.0      13.1     204.3   -4.6875      12.0      13.5
      4150     290.0      13.6     195.9   -4.5573      12.0      12.0
